-81.22401	-5.83077	198.0
-81.23674	-5.80711	126.0
-81.14191	-5.84714	35.0
-81.17158	-5.82252	66.0
-81.20240	-5.77909	108.0
-81.19558	-5.74180	95.0
-81.22625	-5.72405	104.0
-81.20130	-5.69364	90.0
-81.23793	-5.63291	101.0
-81.19049	-5.60933	81.0
-81.17332	-5.57850	77.0
-81.21838	-5.57731	82.0
-81.24045	-5.55804	103.0
-81.13477	-5.66057	73.0
-81.18468	-5.64887	82.0
-81.11595	-5.76836	75.0
-81.13518	-5.79046	72.0
-81.10752	-5.80069	59.0
-81.14132	-5.82513	57.0
-81.12094	-5.82563	33.0
-81.08687	-5.80688	16.4
-81.05825	-5.75299	66.0
-81.03101	-5.74758	48.0
-81.03582	-5.77010	48.0
-81.03838	-5.78487	31.0
-81.00734	-5.76033	24.0
-81.05537	-5.70988	68.0
-81.00729	-5.70561	57.0
-81.03866	-5.65910	64.0
-81.07520	-5.69034	73.0
-81.13926	-5.70369	75.0
-81.10546	-5.61029	75.0
-81.08394	-5.58534	72.0
-81.04195	-5.57437	62.0
-81.02043	-5.59272	57.0
-81.09136	-5.54304	73.0
-81.11989	-5.57093	77.0
-81.15844	-5.52693	73.0
-81.19187	-5.53923	77.0
-81.24924	-5.51771	157.0
-81.21902	-5.48683	88.0
-81.17231	-5.45953	70.0
-81.14283	-5.47017	73.0
-81.21636	-5.44172	99.0
-81.24178	-5.42658	112.0
-81.22067	-5.31001	90.0
-81.18871	-5.30918	68.0
-81.14223	-5.30060	31.0
-81.17328	-5.32722	59.0
-81.13468	-5.32456	39.0
-81.19081	-5.35315	77.0
-81.22241	-5.37793	97.0
-81.19196	-5.39583	84.0
-81.11723	-5.35889	42.0
-81.10670	-5.32855	28.0
-81.07666	-5.34003	22.0
-81.09040	-5.35875	31.0
-81.07749	-5.37660	33.0
-81.04086	-5.39285	22.0
-81.05638	-5.40818	31.0
-81.04072	-5.42144	22.0
-81.00747	-5.43034	22.0
-81.04081	-5.45356	40.0
-81.00578	-5.54115	40.0
-80.99008	-5.65763	40.0
-80.98765	-5.69451	40.0
-80.95225	-5.66204	31.0
-80.95981	-5.59359	31.0
-80.96141	-5.74166	22.0
-80.98916	-5.75671	29.0
-80.96892	-5.70534	39.0
-80.96228	-5.56148	29.0
-80.97602	-5.54092	29.0
-80.97057	-5.50486	29.0
-80.94300	-5.63685	29.0
-81.00569	-5.51051	35.0
-81.02318	-5.47127	35.0
-80.97057	-5.64043	39.0
-80.99113	-5.60763	50.0
-80.98989	-5.49128	31.0
-80.99131	-5.45632	24.0
-80.97185	-5.47366	24.0
-81.02703	-5.44108	33.0
-81.07373	-5.44048	53.0
-81.14127	-5.40832	66.0
-81.10899	-5.45099	66.0
-81.09260	-5.50427	70.0
-81.04053	-5.51170	55.0
-81.10798	-5.42254	55.0
-80.94168	-5.57621	28.0
-80.95450	-5.52923	28.0
-80.93733	-5.60428	24.0
-81.08788	-5.40556	42.0
-81.17030	-5.41937	68.0
-80.92872	-5.79115	5.5
-80.89250	-5.72506	5.5
-80.88444	-5.70873	5.5
-80.90656	-5.70680	5.5
-80.87693	-5.67616	5.5
-80.89447	-5.65020	5.5
-80.89012	-5.60144	5.5
-80.90124	-5.76239	5.5
-80.91022	-5.65933	10.9
-80.91901	-5.73575	10.0
-80.94319	-5.73483	10.9
-80.90578	-5.58956	10.9
-80.94607	-5.75822	7.0
-80.95445	-5.80009	7.0
-80.92336	-5.69575	6.4
-80.89154	-5.66488	2.2
-80.97235	-5.77450	12.8
-80.99246	-5.78881	12.8
-80.98678	-5.77317	24.0
-81.00624	-5.77739	14.6
-80.98934	-5.81688	3.6
-81.00725	-5.81018	3.6
-80.96713	-5.83595	3.3
-80.94044	-5.71483	20.1
-80.91860	-5.61382	18.0
-80.91791	-5.56175	14.0
-80.95665	-5.46834	14.6
-80.97822	-5.43824	14.6
-81.03875	-5.35898	14.6
-81.07465	-5.47288	64.0
-81.02245	-5.38679	14.6
